Question_ID,Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer
1,"1. He said, “Ravi, why are you sounding so depressed today?”",(1) He asked Ravi why did he sound so depressed that day.,(2) He asked Ravi why he was sounding so depressed that day.,(3) He told Ravi why he sound- ed so depressed today.,(4) He asked Ravi that why was he sounding so depressed that day.,2
2,"2. He asked me, “What time will the sun set tomorrow ?”",(1) He asked me what time does the sun set the next day.,(2) He asked me what time the sun would set tomorrow.,(3) He asked me what time the sun would set the next day.,(4) He asked me what time would the sun set the next day.,3
3,"3. “Tinu, where have you been all these days ?” asked the Principal.",(1) The Principal asked Tinu where he had been all those days.,(2) The Principal asked Tinu where he has been all those days.,(3) The Principal asked Tinu where had he been all those days.,(4) The Principal asked to Tinu where was he all those days.,1
4,"4. “Have you finished your assign- ment, Minu ?” said her brother.",(1) Minu’s brother asked Minu if you have finished your as- signment.,(2) Minu’s brother said to Minu if she had finished her as- signment.,(3) Minu’s brother asked her if she had finished her assign- ment.,(4) Minu’s brother asked Minu if she has finished her as- signment,3
5,"5. He says, “I go for a walk every  morning.”",(1) He says that he goes for a walk every morning.,(2) He said that he used to go for a walk every morning,(3) He said that he goes for a walk every morning.,(4) He says he went for a walk every morning.,1
6,"6. The Principal said, “Why didn't  you attend the flag hoisting cer-  emony, Anuj ?”",(1) The Principal asked Anuj why hadn't he attended the flag hoisting ceremony.,(2) The Principal asked to Anuj why he hadn't attended the flag hoisting ceremony.,(3) The Principal asked Anuj why didn't he attend the flag hoisting ceremony.,(4) The Principal asked Anuj why he didn't attend the flag hoisting ceremony.,4
7,"7. 1 said to him, “Where have you  lost the pen I brought for you  yesterday ?”",(1) I asked him where he had lost the pen I had brought him yesterday.,(2) I asked him where he had lost the pen I have brought for him the previous day.,(3) I asked him where he had lost the pen I had brought for him the previous day.,(4) I asked him where had he lost the pen I had brought him the previous day.,3
8,"8. He said, “Garima wants to take  up a job while her husband  wants her to look after the fam-  ily.”",(1) He said that Garima want- ed to take up a job while her husband wanted her to look after the family.,(2) He said that Garima wants to take up a job while her husband wanted her to look after the family.,(3) He told that Garima wanted to take up a job while her husband wants her to look after the family.,(4) He said to Garima that though she wanted to take up a job while her husband wanted her to look after the family.,1
9,"9. She said, “When I was a child, I  wasn’t afraid of ghosts.”",(1) She said that when she was achild she wasn't not afraid of ghosts.,(2) She said that when she was a child she hadn't been afraid of ghosts.,(3) She said that when she was a child she wasn’t afraid of ghosts.,(4) She said that when she had been a child she wasn't afraid of ghosts.,3
10,"10. He said, “Reena, do you want to  buy a house in Noida ?”",(1) He told Reena if she want- ed to buy a house in Noida.,(2) He asked that did she want to buy a house in Noida.,(3) He asked Reena if she wants to buy a house in Noida.,(4) He asked Reena if she want- ed to buy a house in Noida.,4
